postcode,lat,long
3891,-37.567684,149.53890699999997
3892,-37.563775,149.909868
3893,-37.495349,147.866067
3895,-37.38467801,147.8933252
3896,-37.264671,147.707962
3898,-37.05701132923077,147.47640837692308
3900,-36.88053,147.826143
3902,-37.797042,147.814894
3903,-37.811303,147.867533
3904,-37.881041,147.839367
3909,-37.821921,147.970237
3910,-38.156369,145.198328
3911,-38.196908,145.169556
3912,-38.217991,145.227373
3913,-38.262273,145.166426
3915,-38.305806,145.136622
3916,-38.415199,145.050587
3918,-38.339871,145.155546
3919,-38.352327,145.199777
3920,-38.38752,145.19304
3921,-38.418228813333336,145.36763413333333
3922,-38.482182,145.231974
3923,-38.465552,145.293632
3925,-38.528213,145.379683
3926,-38.355231,145.094502
3927,-38.383368,145.153269
3928,-38.407828,144.975131
3929,-38.460965,144.976673
3930,-38.195017,145.093743
3931,-38.230038,145.049503
3933,-38.261168,145.096992
3934,-38.2783,145.031598
3936,-38.326447,145.007626
3937,-38.373694,145.01994
3938,-38.354321,144.931834
3939,-38.42776,144.900413
3940,-38.378498915,144.87426495
3941,-38.396077,144.827203
3942,-38.367874,144.768301
3943,-38.345527,144.739101
3944,-38.321871,144.692708
3945,-38.381582,145.697053
3946,-38.448155,145.723537
3950,-38.435217,145.812945
3951,-38.47372,145.798419
3953,-38.456456433999996,145.99685993999998
3954,-38.550379,145.937973
3956,-38.64153268,145.95283417272728
3957,-38.589302,146.126718
3958,-38.673841,145.987059
3959,-38.734636,146.066529
3960,-39.140761,146.360412
3962,-38.59472375,146.363941
3964,-38.685115,146.278804
3965,-38.693437,146.472132
3966,-38.630568,146.436583
3967,-38.647562,146.507929
3971,-38.63707014727273,146.80245198636362
3975,-38.05354,145.231114
3976,-38.043995,145.264296
3977,-38.131772015,145.2639231
3978,-38.135009,145.384606
3979,-38.44818,145.591284
3980,-38.204448,145.356937
3981,-38.207298,145.575
3984,-38.312647,145.563979
3987,-38.309048,145.689142
3988,-38.313447,145.811863
3989,49.1805,-2.10323
3990,-38.455399,145.501279
3991,-38.483041,145.466781
3992,-38.569135,145.534315
3995,-38.578071,145.630713
3996,-38.629561,145.745609
